symbol,week_return_pct,volatility_pct,avg_daily_range_pct,price_range_pct,avg_volume,volume_surge_ratio,trend_strength_pct,best_day_return_pct,worst_day_return_pct,avg_intraday_move_pct,max_intraday_move_pct,first_close,last_close,days_analyzed,opportunity_score,call_score,put_score
UNH,-1.19,2.43,2.65,6.61,9080660,1.41,-2.32,1.72,-3.59,2.61,4.57,358.77,354.5,5,10.135000000000002,5.08,10.94
PFE,-6.24,0.7,3.01,10.37,54270340,1.19,-3.5,-0.61,-2.25,2.94,3.56,26.43,24.78,5,9.629999999999999,3.71,21.439999999999998
MRK,-3.16,1.39,2.01,4.94,10591100,1.1,-1.46,1.27,-1.73,1.99,2.64,88.8,85.99,5,7.925,3.3999999999999995,11.91
CVX,-3.32,1.04,1.72,3.95,5981260,1.3,-2.45,0.58,-1.81,1.71,2.4,154.02,148.9,5,6.970000000000001,2.76,13.075000000000001
XOM,-3.04,0.89,1.88,4.2,12211960,1.13,-2.2,0.05,-1.93,1.87,2.43,114.2,110.73,5,6.684999999999999,2.77,12.150000000000002
NFLX,4.88,1.46,2.01,8.73,3219260,1.29,1.34,2.39,-0.89,2.02,2.27,1163.31,1220.08,5,9.02,15.24,3.4699999999999998
CRM,-1.67,1.99,3.92,6.13,9066560,1.54,-0.38,2.04,-2.46,3.94,6.29,245.78,241.68,5,11.465,5.91,9.82
AMD,5.49,8.06,8.24,18.21,147302440,1.69,-2.19,11.37,-7.72,8.05,11.82,203.71,214.9,5,32.07,27.28,19.585
INTC,-0.6,2.46,5.65,10.22,119433320,1.51,-1.89,1.59,-3.78,5.57,8.71,36.59,36.37,5,14.450000000000003,8.11,12.145
DIS,-3.16,0.6,1.89,3.8,6921660,1.37,-2.05,-0.2,-1.62,1.87,3.2,112.75,109.19,5,6.300000000000001,2.4899999999999998,11.885
V,-1.61,0.95,1.69,3.36,4887400,1.29,-1.46,0.9,-1.23,1.68,2.07,349.28,343.65,5,5.885,2.6399999999999997,8.05
MA,-3.56,0.9,1.96,4.95,2545620,1.38,-2.36,0.18,-1.93,1.93,2.93,578.05,557.48,5,7.21,2.86,13.52
COIN,-7.53,4.57,6.1,13.09,9779360,1.75,-5.71,3.06,-7.75,5.86,13.03,386.07,357.01,5,22.93,10.67,34.295
UBER,-6.69,2.18,3.69,7.96,15166640,1.5,-4.02,1.51,-3.3,3.65,4.54,100.1,93.4,5,13.99,5.87,25.28
ORCL,0.64,2.57,4.51,12.78,24000040,1.32,0.82,3.06,-2.52,4.46,7.58,291.08,292.96,5,12.885,9.59,7.08
ADBE,-3.61,1.34,2.83,5.83,3812620,1.4,-2.58,0.13,-2.87,2.81,4.41,350.14,337.51,5,9.430000000000001,4.17,15.26
CSCO,-1.41,2.0,2.37,4.35,22969720,1.49,-1.86,1.94,-2.89,2.35,4.15,68.91,67.94,5,9.004999999999999,4.37,9.98
QCOM,-8.91,3.64,3.81,11.05,9085140,1.74,-6.47,1.4,-7.29,3.68,7.12,168.62,153.59,5,18.32,7.45,34.975
AVGO,-3.24,3.65,4.1,7.91,20901980,1.38,-3.79,2.7,-5.91,4.03,7.69,335.49,324.63,5,15.759999999999998,7.75,19.915
TXN,-5.56,2.85,3.08,6.45,6484340,1.48,-3.66,2.57,-4.06,3.03,5.61,181.81,171.7,5,13.84,5.93,22.54
ABNB,-1.79,0.83,2.18,5.68,4562340,1.2,-1.27,0.13,-1.63,2.16,3.54,120.35,118.19,5,6.425000000000001,3.0100000000000002,8.495000000000001
PYPL,-2.03,5.36,4.88,11.06,20932080,1.53,-5.01,4.66,-7.8,4.73,9.38,71.29,69.84,5,19.82,10.24,21.814999999999998
HD,-3.49,0.48,1.51,5.07,2997720,1.22,-1.81,-0.51,-1.59,1.49,2.23,389.33,375.75,5,5.58,1.99,11.685
WMT,-0.84,0.69,1.97,3.17,16087720,1.21,-0.63,0.53,-1.1,1.97,2.99,102.7,101.84,5,5.359999999999999,2.66,5.285
NKE,-8.36,1.95,3.01,10.55,15321620,1.22,-4.77,0.26,-4.17,2.92,5.29,71.17,65.22,5,13.204999999999998,4.96,28.835
MCD,0.33,0.74,1.36,2.57,3119660,1.28,0.51,1.09,-0.65,1.36,1.72,296.04,297.01,5,4.325,3.5250000000000004,2.1
SBUX,-4.45,0.61,2.71,9.6,11523600,1.3,-2.34,-0.32,-1.65,2.64,4.9,82.11,78.46,5,8.16,3.32,15.73
TGT,-3.86,2.31,2.64,6.33,8650160,1.61,-3.52,1.24,-4.01,2.59,4.34,88.96,85.53,5,11.315,4.95,17.95
COST,2.09,1.86,1.38,4.56,2871840,1.3,0.79,3.07,-1.37,1.38,1.77,910.94,930.01,5,7.485,8.605,3.24
ABBV,0.13,0.78,1.92,3.08,6596000,1.81,-0.26,1.15,-0.68,1.92,2.81,230.19,230.5,5,5.41,2.96,3.09
LLY,-1.37,1.58,2.13,4.05,2987880,1.22,-1.32,1.14,-2.56,2.11,3.99,845.05,833.49,5,7.65,3.71,8.43
TMO,-3.52,0.68,2.14,4.74,1966120,1.3,-2.05,-0.28,-1.85,2.12,2.67,543.95,524.8,5,6.98,2.8200000000000003,12.935
DHR,-4.37,0.68,2.23,6.21,3821160,1.33,-1.95,-0.23,-1.82,2.21,2.59,211.71,202.46,5,7.555,2.91,14.575
GILD,3.17,1.71,2.83,6.09,7449120,1.22,0.58,2.82,-1.28,2.83,3.97,113.58,117.18,5,9.86,11.75,4.54
AMGN,-1.36,1.03,1.77,2.74,2080620,1.41,-1.31,0.48,-1.79,1.76,2.54,294.12,290.13,5,6.1,2.8,7.485000000000001
BA,-4.1,2.73,2.97,7.04,8997660,1.44,-3.65,1.58,-4.14,2.93,4.34,219.73,210.73,5,12.684999999999999,5.7,19.374999999999996
CAT,-0.82,2.33,3.12,5.64,3144900,1.26,-0.78,3.17,-1.81,3.09,4.1,495.38,491.3,5,10.38,5.45,8.26
GE,-2.26,1.66,2.07,4.42,3133620,1.37,-2.4,1.18,-2.63,2.06,2.85,298.22,291.49,5,8.239999999999998,3.7299999999999995,11.85
HON,-3.87,1.44,1.74,4.68,4137680,1.25,-2.75,0.42,-2.68,1.71,3.1,209.0,200.91,5,8.05,3.1799999999999997,15.045
UPS,-4.33,1.31,2.34,5.63,6174040,1.37,-2.96,0.31,-2.83,2.3,4.11,86.62,82.87,5,8.98,3.65,16.75
RTX,-6.58,1.92,2.33,7.94,5407020,1.37,-4.6,0.28,-3.79,2.27,4.29,168.8,157.7,5,11.309999999999999,4.25,24.309999999999995
SLB,-8.3,1.63,3.23,9.77,15972880,1.17,-5.49,-0.52,-4.26,3.15,4.55,34.59,31.72,5,12.840000000000002,4.859999999999999,29.695
COP,-7.66,2.07,2.66,8.2,5520660,1.42,-5.45,0.34,-4.69,2.61,3.7,94.91,87.64,5,12.67,4.73,28.225
OXY,-7.16,2.37,2.75,8.44,11754540,1.45,-5.26,-0.15,-5.32,2.7,4.49,45.4,42.15,5,13.17,5.12,27.330000000000002
HAL,-9.81,2.51,3.97,10.96,10024580,1.22,-6.85,-0.33,-6.11,3.86,5.9,24.36,21.97,5,16.49,6.48,36.375
DVN,-6.9,2.58,3.26,9.34,8233540,1.4,-5.37,0.23,-5.39,3.2,4.54,34.91,32.5,5,14.2,5.84,27.695
MU,-4.9,4.9,5.6,11.2,27519940,1.32,-4.13,5.84,-5.58,5.46,7.17,190.96,181.6,5,21.31,10.5,26.495000000000005
AMAT,-6.23,4.19,4.57,7.81,9165220,1.4,-3.09,2.81,-5.52,4.47,6.68,223.91,209.95,5,19.05,8.760000000000002,25.855
LRCX,-11.92,3.98,4.72,15.21,13659060,1.37,-6.75,1.56,-6.83,4.55,7.67,149.15,131.37,5,21.685,8.7,42.665
KLAC,-13.77,2.65,4.01,15.02,1224440,1.29,-7.69,-0.86,-6.71,3.87,6.97,1139.71,982.75,5,18.845,6.66,45.735
MRVL,-3.66,5.06,5.3,10.47,20797720,1.47,-3.69,6.36,-5.53,5.15,10.0,88.86,85.61,5,20.634999999999998,10.36,23.215
